x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,volume ,eccentricity,min_area
-0.1205,-0.3795,-0.3415,-0.3105,0.4065,-0.5925,0.5145,-0.8805,0.6775,-0.0065,11.82124766,0.866877284,0.127603596
-0.4045,0.8245,0.4615,0.5345,-0.1195,0.1315,0.5875,0.0025,-0.2035,-0.8175,11.77979626,0.403443197,0.15083896
0.8265,0.8795,0.8905,-0.0525,0.0085,-0.1145,0.9605,-0.9555,0.0265,-0.6095,11.71747998,1.055733236,0.033062073
0.6135,-0.0955,-0.0495,0.7925,0.2065,-0.5825,-0.4705,-0.9635,-0.4715,0.9725,12.02232167,0.717900052,0.167004216
0.0965,-0.4935,-0.2595,0.6715,-0.0885,0.8355,-0.2155,0.5305,0.2535,-0.6735,11.95366431,0.314960757,0.115591152
-0.7385,0.4045,-0.6045,0.0725,-0.2235,0.7215,0.1105,-0.9215,-0.6015,0.2935,11.72092105,0.524288635,0.120100923
-0.8025,0.3755,-0.7625,-0.4615,0.9445,0.5695,-0.7725,0.5875,0.2075,0.8445,11.76428747,0.764895717,0.02034535
-0.6005,0.7725,0.4645,-0.8445,0.5415,0.8415,-0.4065,-0.5535,-0.8165,0.5155,11.73624918,0.458146609,0.007094923
0.1365,-0.5295,0.5615,-0.1675,-0.0595,0.3885,0.0715,-0.5415,-0.2825,-0.6865,11.730512,0.492024331,0.003638596
0.4775,0.2585,0.0945,-0.1255,-0.6095,-0.5875,0.8065,0.0505,0.3115,0.7425,11.77037292,0.596567068,0.001834413
0.4005,-0.4205,0.5425,0.5885,0.7645,0.8405,0.9425,0.6865,-0.9885,-0.6235,12.54620268,0.77449674,0.137839216
-0.2795,-0.6025,0.8175,0.1425,-0.7205,-0.8815,0.2475,-0.3885,-0.9435,0.0595,11.7343664,0.34154772,0
0.1955,0.6445,0.9065,-0.3905,-0.1345,-0.8515,0.1045,-0.2065,0.7235,0.2295,11.7284401,0.274451642,0
-0.4655,0.3095,0.7795,0.4425,-0.2885,-0.2815,0.5035,-0.4465,0.7805,-0.0125,11.71949402,0.600672083,0.003744925
-0.8225,0.4525,0.1555,0.8085,0.6825,0.4525,-0.0475,0.1465,0.5105,-0.1475,11.72351271,0.171867202,0.028162383
0.3865,-0.3345,-0.6555,0.2485,-0.5725,0.0365,0.6575,-0.7445,0.9085,-0.8965,11.83764571,0.928922527,0.014053687
-0.0595,0.3255,0.6055,-0.7605,-0.3445,0.3665,-0.0585,0.5385,-0.8905,0.7705,11.80686706,0.632150846,0
-0.7035,-0.4625,0.0865,-0.0515,0.9305,0.3115,0.8905,0.6665,0.2665,0.9625,11.76861973,1.036193276,0
0.4255,0.0285,0.0885,-0.8305,0.4215,0.6885,-0.8995,-0.5615,0.6875,-0.3535,11.71612429,0.604677798,0.124027878
